Trial,Voltage (V),Current (A),Time (s),Hydrogen Volume (mL),H2 Rate (mL/s),Notes,Hydrogen Production Rate (mL/s),Theoretical Hydrogen Volume (mL),Efficiency (%),Percent Error vs Theory (%)
1,4.0,0.054,60.0,0.25,0.004,slight bubbling,0.004166666666666667,0.4029641913250764,62.04025205761317,37.95974794238683
2,4.0,0.055,60.0,0.28,0.005,slight bubbling,0.004666666666666667,0.4104264911644297,68.22171717171717,31.778282828282823
3,4.0,0.059,60.0,0.3,0.005,slight bubbling,0.005,0.4402756905218428,68.1391242937853,31.860875706214692
4,4.5,0.082,60.0,0.48,0.008,still slight bubbling,0.008,0.6119085868269679,78.4430894308943,21.556910569105693
5,4.5,0.085,60.0,0.49,0.008,still slight bubbling,0.008166666666666666,0.6342954863450277,77.25106209150326,22.748937908496735
6,4.5,0.081,60.0,0.47,0.008,still slight bubbling,0.007833333333333333,0.6044462869876147,77.75711591220849,22.242884087791506
7,5.0,0.108,60.0,0.68,0.011,bubbling increases but isn't too high,0.011333333333333334,0.8059283826501528,84.37474279835394,15.625257201646074
8,5.0,0.103,60.0,0.65,0.011,bubbling increases but isn't too high,0.010833333333333334,0.7686168834533865,84.5674892125135,15.432510787486512
9,5.0,0.116,60.0,0.72,0.012,bubbling increases but isn't too high,0.012,0.865626781364979,83.17672413793103,16.82327586206896
10,5.5,0.143,60.0,0.93,0.016,bubbling rate is noticable ,0.015500000000000002,1.0671088770275172,87.15136946386947,12.848630536130532
11,5.5,0.13,60.0,0.85,0.014,bubbling rate is noticable ,0.014166666666666666,0.9700989791159249,87.6199252136752,12.380074786324803
12,5.5,0.126,60.0,0.83,0.014,bubbling rate is noticable ,0.013833333333333333,0.9402497797585119,88.27441578483243,11.72558421516757
13,6.0,0.159,60.0,0.97,0.016,aggressive bubbling with some bubbles escaping the column,0.016166666666666666,1.1865056744571696,81.75266422082458,18.247335779175412
14,6.0,0.168,60.0,1.03,0.017,aggressive bubbling with some bubbles escaping the column,0.017166666666666667,1.2536663730113489,82.15901951058203,17.840980489417984
15,6.0,0.174,60.0,1.07,0.018,aggressive bubbling with some bubbles escaping the column,0.017833333333333333,1.2984401720474685,82.40656928480205,17.593430715197954
16,6.5,0.184,60.0,1.13,0.019,very aggressive bubbling with some bubbles escaping the column,0.01883333333333333,1.3730631704410012,82.29774305555554,17.702256944444457
17,6.5,0.202,60.0,1.33,0.022,very aggressive bubbling with some bubbles escaping the column,0.022166666666666668,1.50738456754936,88.23229510451046,11.767704895489544
18,6.5,0.217,60.0,1.35,0.023,very aggressive bubbling with some bubbles escaping the column,0.022500000000000003,1.619319065139659,83.36837557603688,16.631624423963125
